Team,Results
Boston Celtics,115
Brooklyn Nets,6
New York Knicks,151
Philadelphia 76ers,70
Toronto Raptors,0
Golden State Warriors,59
Los Angeles Clippers,76
Los Angeles Lakers,96
Phoenix Suns,153
Sacramento Kings,30
Chicago Bulls,300
Cleveland Cavaliers,103
Detroit Pistons,80
Indiana Pacers,71
Milwaukee Bucks,52
Dallas Mavericks,51
Houston Rockets,71
Memphis Grizzlies,0
New Orleans Pelicans,2
San Antonio Spurs,62
Atlanta Hawks,1054
Charlotte Bobcats,0
Miami Heat,105
Orlando Magic,145
Washington Wizards,2
Denver Nuggets,55
Minnesota Timberwolves,23
Oklahoma City Thunder,3
Portland Trail Blazers,34
Utah Jazz,64